ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
L,3176210.0,1668555.0,39.66731425,-104.87405722,None,2679.0,None,None,S,Dayton,Way,None,None,None,None,None,None,None,None,2679 S Dayton Way
S,3176237.0,1668436.0,39.66698774,-104.87396294,None,2679.0,None,None,S,Dayton,Way,None,None,None,None,Spc,D-1,Spc,D-1,2679 S Dayton Way Spc D-1
S,3176131.0,1668086.0,39.66602885,-104.87434947,None,2669.0,None,None,S,Dayton,Way,None,None,None,None,Spc,D,Spc,D,2669 S Dayton Way Spc D
U,3144188.0,1669580.0,39.67067826,-104.9877842,None,2527.0,None,None,S,Broadway,None,None,None,None,None,None,None,None,None,2527 S Broadway
S,3175959.0,1668375.0,39.6668249,-104.87495208,None,2669.0,None,None,S,Dayton,Way,None,None,None,None,Spc,A-1,Spc,A-1,2669 S Dayton Way Spc A-1
S,3176083.0,1668724.0,39.66777968,-104.87450523,None,2649.0,None,None,S,Dayton,Way,None,None,None,None,Spc,B-2,Spc,B-2,2649 S Dayton Way Spc B-2
S,3175920.0,1668566.0,39.66735119,-104.8750883,None,2679.0,None,None,S,Dayton,Way,None,None,None,None,Spc,B-1,Spc,B-1,2679 S Dayton Way Spc B-1
S,3176280.0,1668224.0,39.66640422,-104.87381527,None,2659.0,None,None,S,Dayton,Way,None,None,None,None,Spc,C,Spc,C,2659 S Dayton Way Spc C
L,3176021.0,1668412.0,39.66692525,-104.87473208,None,2669.0,None,None,S,Dayton,Way,None,None,None,None,None,None,None,None,2669 S Dayton Way
S,3175958.0,1669107.0,39.66883475,-104.87493815,None,2649.0,None,None,S,Dayton,Way,None,None,None,None,Spc,A-1,Spc,A-1,2649 S Dayton Way Spc A-1
S,3128208.0,1682318.0,39.70588177,-105.04432306,None,4341.0,None,None,W,Center,Ave,None,None,Bldg,A,None,None,Bldg,A,4341 W Center Ave Bldg A
S,3128236.0,1705846.0,39.77047088,-105.04380379,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,205,Unit,205,3860 N Tennyson St Unit 205
S,3128301.0,1705841.0,39.77045633,-105.04357271,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,509,Unit,509,3860 N Tennyson St Unit 509
S,3128235.0,1705779.0,39.77028519,-105.04381005,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,502,Unit,502,3860 N Tennyson St Unit 502
S,3128254.0,1705785.0,39.77030297,-105.04374298,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,301,Unit,301,3860 N Tennyson St Unit 301
S,3128301.0,1705841.0,39.77045633,-105.04357271,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,210,Unit,210,3860 N Tennyson St Unit 210
S,3128300.0,1705779.0,39.77028575,-105.04357697,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,213,Unit,213,3860 N Tennyson St Unit 213
S,3128254.0,1705785.0,39.77030297,-105.04374298,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,201,Unit,201,3860 N Tennyson St Unit 201
S,3128236.0,1705823.0,39.77040655,-105.0438061,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,304,Unit,304,3860 N Tennyson St Unit 304
S,3128301.0,1705841.0,39.77045633,-105.04357271,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,409,Unit,409,3860 N Tennyson St Unit 409
S,3128301.0,1705862.0,39.77051337,-105.04357423,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,209,Unit,209,3860 N Tennyson St Unit 209
S,3169992.0,1711807.0,39.78616389,-104.89512162,None,4900.0,None,None,N,Trenton,St,None,None,None,None,Unit,329,Unit,329,4900 N Trenton St Unit 329
S,3128237.0,1705862.0,39.77051278,-105.04379973,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,106,Unit,106,3860 N Tennyson St Unit 106
S,3128237.0,1705862.0,39.77051278,-105.04379973,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,206,Unit,206,3860 N Tennyson St Unit 206
S,3128254.0,1705855.0,39.77049549,-105.04374173,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,507,Unit,507,3860 N Tennyson St Unit 507
S,3128300.0,1705797.0,39.7703345,-105.04357792,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,212,Unit,212,3860 N Tennyson St Unit 212
S,3128235.0,1705799.0,39.77034026,-105.04380717,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,303,Unit,303,3860 N Tennyson St Unit 303
S,3128254.0,1705855.0,39.77049549,-105.04374173,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,207,Unit,207,3860 N Tennyson St Unit 207
S,3128235.0,1705779.0,39.77028519,-105.04381005,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,302,Unit,302,3860 N Tennyson St Unit 302
S,3128235.0,1705779.0,39.77028519,-105.04381005,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,402,Unit,402,3860 N Tennyson St Unit 402
S,3128236.0,1705846.0,39.77047088,-105.04380379,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,105,Unit,105,3860 N Tennyson St Unit 105
S,3128235.0,1705799.0,39.77034026,-105.04380717,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,203,Unit,203,3860 N Tennyson St Unit 203
S,3128237.0,1705862.0,39.77051278,-105.04379973,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,506,Unit,506,3860 N Tennyson St Unit 506
S,3128301.0,1705819.0,39.77039395,-105.04357438,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,410,Unit,410,3860 N Tennyson St Unit 410
S,3128300.0,1705779.0,39.77028575,-105.04357697,None,3860.0,None,None,N,Tennyson,St,None,None,None,None,Unit,412,Unit,412,3860 N Tennyson St Unit 412
S,3140161.0,1700558.0,39.75578263,-105.00148543,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,1016,Unit,1016,1777 Chestnut Pl Unit 1016
S,3140133.0,1700574.0,39.75582694,-105.00158488,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,520,Unit,520,1777 Chestnut Pl Unit 520
S,3140119.0,1700506.0,39.75563886,-105.00163589,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,910,Unit,910,1777 Chestnut Pl Unit 910
S,3140099.0,1700606.0,39.75591368,-105.00170495,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,824,Unit,824,1777 Chestnut Pl Unit 824
S,3140053.0,1700652.0,39.75603983,-105.00186753,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,730,Unit,730,1777 Chestnut Pl Unit 730
S,3140087.0,1700603.0,39.75590731,-105.00174806,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,725,Unit,725,1777 Chestnut Pl Unit 725
S,3140099.0,1700499.0,39.7556207,-105.00170873,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,703,Unit,703,1777 Chestnut Pl Unit 703
S,3140103.0,1700489.0,39.7555924,-105.00169488,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,906,Unit,906,1777 Chestnut Pl Unit 906
S,3139972.0,1700361.0,39.75524471,-105.00216244,None,1707.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,714,Unit,714,1707 Chestnut Pl Unit 714
S,3139995.0,1700398.0,39.75534588,-105.00208021,None,1707.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,801,Unit,801,1707 Chestnut Pl Unit 801
S,3140143.0,1700563.0,39.7557953,-105.00155018,None,1777.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,1118,Unit,1118,1777 Chestnut Pl Unit 1118
S,3139995.0,1700399.0,39.75534635,-105.00207836,None,1707.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,1001,Unit,1001,1707 Chestnut Pl Unit 1001
